pruid,prname,date,numdeaths,numtotal,numtested,numrecover,percentrecover,numtoday,percentoday
1,Canada,22-04-2020,1974,40190,612192,13986,34.8,1768,0.046
59,British Columbia,23-04-2020,94,1824,58848,1092,59.87,29,0.016
48,Alberta,23-04-2020,67,3720,112562,1357,36.48,319,0.094
47,Saskatchewan,23-04-2020,4,331,24504,270,81.57,5,0.015
46,Manitoba,23-04-2020,6,262,21229,174,66.41,5,0.019
35,Ontario,23-04-2020,713,12879,188377,6680,51.87,634,0.052
24,Quebec,23-04-2020,1243,21838,180833,4484,20.53,873,0.042
10,Newfoundland and Labrador,23-04-2020,3,256,6862,205,80.08,0,0
13,New Brunswick,23-04-2020,0,118,11616,104,88.14,0,0
12,Nova Scotia,23-04-2020,16,827,24884,358,43.29,55,0.071
11,Prince Edward Island,23-04-2020,0,26,2466,24,92.31,0,0
60,Yukon,23-04-2020,0,11,881,8,72.73,0,0
61,Northwest Territories,23-04-2020,0,5,1515,5,100,0,0
62,Nunavut,23-04-2020,0,0,340,0,N/A,0,0
99,Repatriated travellers,23-04-2020,,13,,,,0,0
1,Canada,23-04-2020,2146,42110,634917,14761,35.05,1920,0.048
59,British Columbia,24-04-2020,98,1853,60472,1114,60.12,29,0.016
48,Alberta,24-04-2020,72,4017,116859,1397,34.78,297,0.08
47,Saskatchewan,24-04-2020,4,341,25141,280,82.11,10,0.03
46,Manitoba,24-04-2020,6,263,21720,196,74.52,1,0.004
35,Ontario,24-04-2020,763,13519,200270,7087,52.42,640,0.05
24,Quebec,24-04-2020,1340,22616,185632,4724,20.89,778,0.036
10,Newfoundland and Labrador,24-04-2020,3,256,7105,207,80.86,0,0
13,New Brunswick,24-04-2020,0,118,11908,107,90.68,0,0
12,Nova Scotia,24-04-2020,16,850,25658,392,46.12,23,0.028
11,Prince Edward Island,24-04-2020,0,26,2564,24,92.31,0,0
60,Yukon,24-04-2020,0,11,888,8,72.73,0,0
61,Northwest Territories,24-04-2020,0,5,1537,5,100,0,0
62,Nunavut,24-04-2020,0,0,354,0,N/A,0,0
99,Repatriated travellers,24-04-2020,,13,,,,0,0
1,Canada,24-04-2020,2302,43888,660108,15541,35.41,1778,0.042
59,British Columbia,25-04-2020,100,1948,63039,1137,58.37,95,0.051
48,Alberta,25-04-2020,73,4233,121244,1471,34.75,216,0.054
47,Saskatchewan,25-04-2020,4,349,25697,288,82.52,8,0.023
46,Manitoba,25-04-2020,6,267,21720,199,74.53,4,0.015
35,Ontario,25-04-2020,811,13995,210502,7509,53.65,476,0.035
24,Quebec,25-04-2020,1446,23267,190765,5057,21.73,651,0.029
10,Newfoundland and Labrador,25-04-2020,3,257,7332,208,80.93,1,0.004
13,New Brunswick,25-04-2020,0,118,12279,107,90.68,0,0
12,Nova Scotia,25-04-2020,22,865,26320,412,47.63,15,0.018
11,Prince Edward Island,25-04-2020,0,26,2564,24,92.31,0,0
60,Yukon,25-04-2020,0,11,894,8,72.73,0,0
61,Northwest Territories,25-04-2020,0,5,1554,5,100,0,0
62,Nunavut,25-04-2020,0,0,361,0,N/A,0,0
99,Repatriated travellers,25-04-2020,,13,,,,0,0
1,Canada,25-04-2020,2465,45354,684271,16425,36.22,1466,0.033
59,British Columbia,26-04-2020,100,1948,64700,1137,58.37,0,0
48,Alberta,26-04-2020,73,4480,125310,1549,34.58,247,0.058
47,Saskatchewan,26-04-2020,4,353,25697,288,81.59,4,0.011
46,Manitoba,26-04-2020,6,271,21720,199,73.43,4,0.015
